PM2.5,Wind Direction,Wind Speed,Wind direction,Wind
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
0,,,N,0
