sysTime,roll,pitch,yaw,ax,ay,az
11:15:19:30:27268,-8.82,-3.86,-77.52,-0.06,-0.15,0.97
11:15:19:30:27366,-8.82,-3.87,-77.55,-0.06,-0.15,0.97
11:15:19:30:27461,-8.82,-3.87,-77.53,-0.06,-0.15,0.96
11:15:19:30:27572,-8.82,-3.88,-77.54,-0.07,-0.15,0.97
11:15:19:30:27668,-8.81,-3.88,-77.56,-0.07,-0.16,0.97
11:15:19:30:27764,-8.81,-3.88,-77.56,-0.07,-0.16,0.97
11:15:19:30:27971,-8.81,-3.88,-77.59,-0.07,-0.15,0.97
11:15:19:30:28067,-8.81,-3.88,-77.61,-0.07,-0.15,0.97
11:15:19:30:28164,-8.82,-3.88,-77.61,-0.06,-0.16,0.97
11:15:19:31:28275,-8.82,-3.87,-77.6,-0.07,-0.16,0.97
11:15:19:31:28370,-8.82,-3.87,-77.6,-0.06,-0.15,0.97
11:15:19:31:28467,-8.82,-3.87,-77.6,-0.07,-0.15,0.97
11:15:19:31:29073,-8.8,-3.86,-77.63,-0.06,-0.15,0.97
11:15:19:31:29169,-8.81,-3.86,-77.66,-0.07,-0.15,0.97
11:15:19:32:29264,-8.81,-3.86,-77.66,-0.06,-0.15,0.97
11:15:19:32:29361,-8.81,-3.86,-77.66,-0.07,-0.15,0.97
11:15:19:32:29472,-8.81,-3.85,-77.63,-0.07,-0.15,0.97
11:15:19:32:29567,-8.81,-3.84,-77.62,-0.06,-0.16,0.96
11:15:19:32:29663,-8.81,-3.84,-77.61,-0.06,-0.15,0.97
11:15:19:32:29967,-8.81,-3.85,-77.61,-0.06,-0.16,0.97
11:15:19:32:30062,-8.81,-3.86,-77.62,-0.07,-0.15,0.97
11:15:19:32:30174,-8.81,-3.85,-77.62,-0.06,-0.15,0.97
11:15:19:33:30270,-8.81,-3.86,-77.62,-0.07,-0.15,0.97
11:15:19:33:30366,-8.82,-3.87,-77.64,-0.07,-0.16,0.97
11:15:19:33:30462,-8.81,-3.88,-77.66,-0.07,-0.16,0.97
11:15:19:33:31068,-8.81,-3.88,-77.65,-0.07,-0.16,0.97
11:15:19:33:31164,-8.81,-3.87,-77.63,-0.07,-0.15,0.97
11:15:19:34:31274,-8.81,-3.87,-77.65,-0.06,-0.15,0.97
11:15:19:34:31371,-8.81,-3.87,-77.66,-0.07,-0.15,0.97
11:15:19:34:31469,-8.82,-3.85,-77.64,-0.06,-0.16,0.97
11:15:19:34:31564,-8.82,-3.86,-77.65,-0.07,-0.15,0.97
11:15:19:34:31673,-8.81,-3.86,-77.67,-0.07,-0.15,0.97
11:15:19:34:31962,-8.82,-3.85,-77.63,-0.06,-0.15,0.97
11:15:19:34:32074,-8.82,-3.85,-77.63,-0.07,-0.16,0.97
11:15:19:34:32169,-8.83,-3.85,-77.61,-0.07,-0.16,0.97
11:15:19:35:32266,-8.82,-3.85,-77.62,-0.06,-0.16,0.97
11:15:19:35:32362,-8.82,-3.85,-77.6,-0.07,-0.16,0.97
11:15:19:35:32473,-8.81,-3.85,-77.61,-0.06,-0.15,0.97
11:15:19:35:33064,-8.8,-3.86,-77.59,-0.07,-0.15,0.97
11:15:19:35:33174,-8.8,-3.86,-77.59,-0.06,-0.15,0.97
11:15:19:36:33271,-8.8,-3.86,-77.59,-0.07,-0.15,0.98
11:15:19:36:33367,-8.81,-3.87,-77.6,-0.07,-0.15,0.97
11:15:19:36:33463,-8.81,-3.87,-77.6,-0.06,-0.16,0.97
11:15:19:36:33575,-8.81,-3.86,-77.59,-0.07,-0.15,0.97
11:15:19:36:33672,-8.81,-3.87,-77.59,-0.06,-0.15,0.97
11:15:19:36:33974,-8.81,-3.86,-77.59,-0.06,-0.15,0.97
11:15:19:36:34070,-8.81,-3.87,-77.61,-0.07,-0.15,0.97
11:15:19:36:34166,-8.81,-3.88,-77.63,-0.07,-0.15,0.97
